length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
10000,1.4e-06,1e-06,2.7e-05,9e-07,2.75e-05,1,0.0011128,0.0011128,0.0016793,0.0022744,0.0027566,0.0033511,0.0039052,0.004421,0.0052639,0.0055982,0.0058774,0.006428,0.0072044,0.0075653,0.0082006,0.0084015,0.0091305,0.009863,0.0103105,0.0107496,0.0117138,0.0120543,0.0128148,0.0130222,0.0136232,0.0140327,0.014741,0.01527,0.0163836,0.0179636,0.0190637,0.0186583,0.0179745
100000,1.3e-06,1e-06,1.78e-05,9e-07,3.03e-05,1,0.00109,0.00109,0.0017234,0.0021381,0.0026652,0.0031826,0.0035614,0.004254,0.0046972,0.0052879,0.0057216,0.0061232,0.0067431,0.0076107,0.0083284,0.0090187,0.0095503,0.0099806,0.0106565,0.0111253,0.011411,0.0118846,0.0122624,0.0126404,0.0133628,0.0142533,0.0142891,0.0154409,0.0159884,0.0162892,0.0171923,0.0178236,0.0186479
1000000,2.2e-06,6e-07,2.36e-05,4e-07,1.06e-05,1,0.0021291,0.0021291,0.002401,0.0025844,0.0030324,0.0033863,0.0037211,0.0041837,0.0047405,0.0051626,0.0056462,0.0062615,0.0068373,0.0072305,0.0079515,0.0085189,0.0091474,0.0097314,0.0104121,0.011239,0.0116594,0.0120517,0.0122809,0.0127288,0.0132248,0.0137973,0.0143971,0.0152205,0.0154351,0.016154,0.016383,0.0171854,0.0182058
1000,7e-06,2e-06,6.82e-05,1.8e-06,1.9e-05,2,0.0018544,0.001948,0.0018544,0.0024674,0.002928,0.0037055,0.0043229,0.004548,0.005063,0.0053992,0.0061644,0.0067154,0.0072644,0.0077438,0.008327,0.0088429,0.0094658,0.0103692,0.0106381,0.0110196,0.0120187,0.012038,0.0127084,0.013118,0.0137569,0.0147565,0.0147882,0.0150714,0.0158245,0.0163159,0.0168523,0.0171381,0.0178956
10000,1.8e-06,1.3e-06,1.92e-05,1.3e-06,3.07e-05,1,0.0011372,0.0011372,0.0017502,0.0023136,0.0029591,0.0034465,0.0039293,0.0046526,0.0050779,0.0054698,0.0061471,0.0065819,0.0072179,0.0077539,0.0084913,0.008891,0.0094021,0.0098453,0.0104981,0.0108432,0.01176,0.0119034,0.0126914,0.013218,0.0137368,0.0147713,0.0151952,0.0152583,0.0160438,0.0199425,0.0167385,0.016939,0.0177248
100000,1.3e-06,1e-06,1.86e-05,9e-07,1.37e-05,1,0.0011639,0.0011639,0.0018866,0.0024487,0.002942,0.0034878,0.0040089,0.0044744,0.0050709,0.0056509,0.0062461,0.0066344,0.0072423,0.0077446,0.0081812,0.0088629,0.0093955,0.0099298,0.0103675,0.0111059,0.0115784,0.0123222,0.0129707,0.013115,0.0135759,0.0140649,0.0146868,0.0154045,0.0155651,0.0159066,0.0166918,0.0175859,0.0180505
1000000,3.7e-06,1.3e-06,2.39e-05,1.3e-06,1.13e-05,2,0.0020861,0.0021791,0.0020861,0.0025926,0.003017,0.0031812,0.0037271,0.0041656,0.0047865,0.0052484,0.0058268,0.0063632,0.0068547,0.0076497,0.0081985,0.0089008,0.0095852,0.0100142,0.0109781,0.0116834,0.0118661,0.0123629,0.0128093,0.013,0.0138214,0.0140993,0.0148854,0.0152767,0.0160162,0.0165638,0.0172528,0.0178422,0.0178616
1000,5.1e-06,5e-07,6.43e-05,3e-07,1.94e-05,2,0.001761,0.0019707,0.001761,0.002522,0.0027687,0.0030603,0.0037976,0.0041911,0.0049034,0.0051772,0.0058416,0.0064563,0.0070491,0.0076492,0.0083759,0.00892,0.0096444,0.0099762,0.0108404,0.0112123,0.0113045,0.0118153,0.0123089,0.0124941,0.0131758,0.0139721,0.0143578,0.0150155,0.0153964,0.0159818,0.0165264,0.017239,0.0176595
10000,6e-07,5e-07,1.69e-05,4e-07,1.43e-05,1,0.0011079,0.0011079,0.0016882,0.0022387,0.0026929,0.0033267,0.0038768,0.0044359,0.0051793,0.0056975,0.0058707,0.0063149,0.007018,0.0073637,0.0081114,0.00864,0.0095055,0.009834,0.0103834,0.0109355,0.0114561,0.012018,0.0123963,0.0130304,0.0135012,0.0138372,0.0145843,0.0152165,0.0156612,0.0161164,0.016807,0.0172994,0.0175058
100000,7e-07,4e-07,1.77e-05,4e-07,2.9e-05,1,0.0010991,0.0010991,0.0017035,0.0022555,0.0027685,0.003259,0.0038474,0.0044241,0.0049179,0.0052541,0.0059357,0.0063605,0.0067798,0.0074014,0.0081987,0.0087523,0.0090561,0.0098363,0.0102644,0.0111215,0.011576,0.0116955,0.0122712,0.0126579,0.0132808,0.0138595,0.0144987,0.0148535,0.0157452,0.01631,0.0168576,0.0168464,0.0175397
