length,no_policy,seq,parallel,unseq,par_unseq,best_K,best_time,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32
10000,0.0039074,0.0040619,0.0017226,0.0044045,0.0015586,4,0.003906,0.0066587,0.0045212,0.0043846,0.003906,0.0039522,0.0043399,0.0052024,0.0056625,0.0067178,0.0072587,0.0082175,0.0096445,0.010845,0.0115827,0.0123191,0.0127697,0.0134588,0.0142438,0.0153638,0.0163255,0.0176358,0.0180601,0.0172904,0.0182039,0.0187916,0.0189705,0.0213065,0.0228937,0.0237041,0.0236952,0.024506,0.0247132
100000,0.0501961,0.0445545,0.0066306,0.0447094,0.0065902,12,0.015309,0.0457646,0.02343,0.0195806,0.0186825,0.0173447,0.0198784,0.0175721,0.0163401,0.0158457,0.0154635,0.0154063,0.015309,0.0158662,0.0160526,0.0164685,0.0161767,0.01583,0.0164868,0.018299,0.0186912,0.0188341,0.0196476,0.0208603,0.0215923,0.0229942,0.0239854,0.0235487,0.023983,0.0237613,0.0245201,0.0265769,0.0278932
1000000,0.3310426,0.3051773,0.045197,0.3355674,0.0544751,15,0.0722166,0.3979675,0.197116,0.1508566,0.1185725,0.102635,0.0940116,0.1057336,0.102496,0.0924448,0.0903368,0.0885394,0.0843386,0.0812304,0.0756788,0.0722166,0.0753518,0.0758576,0.0785132,0.0788262,0.0805392,0.0804127,0.0827535,0.0838744,0.078751,0.079011,0.0802366,0.0787904,0.0778809,0.0787861,0.0766825,0.0794483,0.0826779
1000,0.0004712,0.0004516,0.0005833,0.0004202,0.0005432,2,0.0023899,0.0027194,0.0023899,0.003034,0.0036258,0.0040758,0.0043961,0.0048974,0.005402,0.0060287,0.0063966,0.0069244,0.0075171,0.0081277,0.0086021,0.0094991,0.0104354,0.0109625,0.011761,0.0129569,0.0136718,0.0137219,0.0144668,0.0154697,0.0153738,0.015006,0.0154344,0.015869,0.0160161,0.0170317,0.0173832,0.018243,0.0189548
10000,0.0037767,0.0036982,0.0016295,0.0033475,0.0013023,4,0.003701,0.0065423,0.0047051,0.004067,0.003701,0.0037693,0.0041023,0.0045655,0.0050431,0.0054981,0.006539,0.0073031,0.0084372,0.0095004,0.0102857,0.0112219,0.0118278,0.0121613,0.012818,0.0131,0.0135763,0.0134714,0.0141639,0.0146722,0.0149881,0.015396,0.0159034,0.0165552,0.0173453,0.0175616,0.0180735,0.0185904,0.0194988
100000,0.0332521,0.0310633,0.0051166,0.0326684,0.0048665,7,0.0102523,0.0403176,0.0247679,0.018883,0.0151026,0.0131344,0.0114967,0.0102523,0.010725,0.0136717,0.0135563,0.0135528,0.0135743,0.0133818,0.0133824,0.0137017,0.0141571,0.0144695,0.0150614,0.0155525,0.0154172,0.0162506,0.016998,0.0175823,0.0174493,0.0186061,0.0190505,0.019745,0.0196887,0.0206061,0.0216373,0.0222436,0.0224352
1000000,0.3079609,0.3133883,0.0376362,0.3152188,0.0397514,16,0.0686254,0.3700515,0.1891958,0.1339396,0.1087572,0.0942773,0.0899972,0.0770266,0.0708794,0.085701,0.0815445,0.0779105,0.074661,0.0735613,0.0709838,0.0693498,0.0686254,0.0713305,0.0708291,0.0718059,0.0744442,0.0797319,0.0803802,0.0793956,0.0787032,0.0784979,0.0778283,0.0780262,0.0779273,0.0771662,0.0762525,0.0788888,0.0792986
1000,0.0004676,0.0004467,0.0006206,0.0004042,0.0004796,2,0.0024229,0.0025079,0.0024229,0.0029959,0.0035948,0.003995,0.0044559,0.0050569,0.0054208,0.0057802,0.0062349,0.0068319,0.0074074,0.0080399,0.0090392,0.0099249,0.0104656,0.0113309,0.0117445,0.0126478,0.0129301,0.0130797,0.0136696,0.0148621,0.0154255,0.0160869,0.0165243,0.017488,0.0177267,0.0181604,0.0187056,0.0193779,0.02021
10000,0.0038875,0.003785,0.0016945,0.0037119,0.0013787,5,0.0036935,0.0066676,0.0044766,0.0039237,0.0037978,0.0036935,0.0041069,0.004532,0.0051647,0.0058148,0.0065707,0.0080432,0.0086683,0.0096028,0.0103871,0.0108887,0.0115921,0.0114878,0.0116398,0.0118576,0.0124534,0.0131461,0.0136902,0.0144218,0.0149793,0.0154024,0.0162026,0.0163158,0.0169941,0.0175353,0.0183621,0.0189022,0.0191422
100000,0.0326389,0.0333961,0.0055914,0.0342787,0.0051723,8,0.0105617,0.0419157,0.0260044,0.0195793,0.0152166,0.0121654,0.0116033,0.0106234,0.0105617,0.0132803,0.0149963,0.0143141,0.013471,0.0138009,0.0136219,0.0134789,0.0136101,0.0141983,0.0155813,0.0154318,0.0159768,0.016594,0.0171239,0.0180039,0.0187154,0.0192585,0.0195731,0.0198953,0.0202469,0.0213944,0.0224635,0.0222421,0.0231137
1000000,0.3266357,0.3202932,0.0445042,0.3317714,0.0490449,16,0.0686607,0.4191394,0.1985337,0.1338663,0.1107903,0.092956,0.086022,0.0773282,0.0741928,0.0866352,0.081591,0.0786739,0.0758063,0.0729481,0.0718275,0.0701793,0.0686607,0.0715525,0.0713969,0.0711374,0.0743098,0.0743934,0.0769099,0.0756497,0.0749021,0.0742191,0.0734308,0.0737201,0.0749074,0.0742129,0.073859,0.0733821,0.0723984
1000,0.0004797,0.0004628,0.0006198,0.0004402,0.0005198,2,0.0022116,0.0024262,0.0022116,0.0027817,0.0034015,0.0038954,0.004152,0.0047415,0.0052331,0.0055406,0.006107,0.0067818,0.0072951,0.007813,0.0086464,0.0089343,0.0096198,0.0105623,0.0111354,0.011788,0.0124473,0.0128604,0.0133796,0.0136088,0.0141356,0.0148938,0.0150923,0.0153991,0.0162143,0.0166477,0.0172856,0.0182037,0.0191709
10000,0.0038466,0.0037513,0.0018131,0.0036597,0.0013183,5,0.0036741,0.0063506,0.0043958,0.0037814,0.0036915,0.0036741,0.0038658,0.0043936,0.004954,0.0053898,0.0059087,0.0063655,0.0078468,0.0087131,0.0098099,0.0104202,0.0114724,0.0119332,0.0121721,0.0125291,0.0130843,0.0134731,0.0134975,0.0143831,0.014978,0.0155781,0.0164605,0.0170769,0.0173584,0.0186105,0.0192161,0.0204469,0.0213404
100000,0.0343734,0.0316031,0.0048361,0.0321804,0.0046072,7,0.0104488,0.040048,0.02424,0.0197291,0.0153721,0.0135355,0.0118481,0.0104488,0.0108432,0.0138056,0.0140229,0.0136722,0.0136556,0.0130638,0.0136677,0.0140501,0.0144444,0.0147342,0.0153231,0.0156968,0.0161802,0.0171832,0.0171671,0.0173408,0.0182793,0.0188773,0.0191057,0.019771,0.0202913,0.0213961,0.0217493,0.0222779,0.0223833
1000000,0.3181238,0.3123662,0.0367186,0.3194617,0.0373873,16,0.0691172,0.3633574,0.1888385,0.134195,0.109162,0.0914381,0.0843959,0.0765338,0.071546,0.0864327,0.0814107,0.0784688,0.0747678,0.0729163,0.0712602,0.0701865,0.0691172,0.0709525,0.0715961,0.0727072,0.0721744,0.0745955,0.0744448,0.0785521,0.0755371,0.0778203,0.0795421,0.0732695,0.072087,0.0734849,0.072184,0.0736504,0.0733537
1000,0.0004733,0.0004476,0.0006134,0.00045,0.0004524,2,0.0022266,0.0024771,0.0022266,0.0028311,0.0034198,0.0038409,0.0043288,0.0047137,0.0051457,0.0056979,0.0061987,0.0066574,0.0071428,0.0077814,0.0086521,0.0095535,0.0098051,0.0108359,0.0115415,0.0121449,0.0125928,0.0128017,0.0133678,0.0139807,0.0141282,0.0150728,0.015546,0.01578,0.0167274,0.0169057,0.0175346,0.0182614,0.0186297
10000,0.0037852,0.0036706,0.0015877,0.0035671,0.0012928,5,0.0036422,0.0069459,0.0048021,0.0044555,0.0037,0.0036422,0.0039357,0.0044647,0.0050041,0.0056984,0.006487,0.0074937,0.0082116,0.0090822,0.0103797,0.0107459,0.0118868,0.0124013,0.0124728,0.0127857,0.0129406,0.0134993,0.0142668,0.0146559,0.0151562,0.0156094,0.0163364,0.0171266,0.0174014,0.0178856,0.0182406,0.01907,0.0195693
100000,0.0477559,0.0438393,0.0063357,0.0345544,0.0051306,7,0.0103114,0.042784,0.0250882,0.0189266,0.0152752,0.013003,0.0115314,0.0103114,0.0106697,0.0130907,0.0144282,0.0142103,0.0139473,0.0133547,0.0134468,0.0137742,0.0143002,0.01451,0.0150721,0.0156868,0.0158317,0.0164995,0.0172805,0.0178731,0.0181913,0.0189252,0.0197477,0.020653,0.0213564,0.0220538,0.0210372,0.0219815,0.0223992
1000000,0.3443468,0.3703017,0.0466276,0.3281969,0.0416407,16,0.0690267,0.3676091,0.1841355,0.1362624,0.1080468,0.0922807,0.0859615,0.079993,0.0888277,0.0852368,0.0823574,0.0763901,0.0757844,0.0727052,0.0716516,0.070889,0.0690267,0.0712042,0.071353,0.0716154,0.0739567,0.0760658,0.0774848,0.075174,0.073588,0.0743639,0.074565,0.0738685,0.072497,0.0742677,0.0731597,0.0720954,0.0731115
